filename,width,height,class,xmin,ymin,xmax,ymax
9. istock_000001684113_small.jpg,930,619,meerkat,584,112,719,579
21. pomeranianpurebreddogredcolorjazzyjames10yearsoldtim1.jpg,450,449,pomeranian,24,14,432,425
IE001102392_STD.jpg,500,335,panda,357,70,495,254
60. 57571940dd08950e5e8b4bf5-750-562.jpg,750,562,raccoon,459,64,720,476
42. toola_custom-1ba552dbbd0d2372dc8cbcf274cf83166b55c4df-s900-c85.jpg,500,359,otter,226,49,348,181
64. __sold__hand_made_poseable_baby_panda__by_wood_splitter_lee-d796hy6.jpg,600,638,panda,109,38,510,632
25. .jpg,600,450,otter,11,1,470,397
28. otter_dc460053-2e4e-463c-b6fe-d8be1edda4db-prv.jpg,695,444,otter,85,63,590,379
40. ma_00027701_h4egeb.jpg,960,530,raccoon,35,16,940,522
92. there-are-lots-of-pomeranians-looking-for-a-good-home.-adopt.jpg,500,325,pomeranian,28,76,174,302
33. mb%20sea%20otters037.jpg,1140,641,otter,690,93,1113,634
20. 4329b34500000578-0-image-a-154_1502463928968.jpg,962,657,panda,38,1,756,627
88. 640x360-2017-sea-otter-fund.jpg,640,360,otter,86,56,608,306
95. $_86.jpg,720,960,pomeranian,80,5,615,536
18. meerkat_1.jpg,640,395,meerkat,210,55,437,390
76. 634440aca8eb563a081004bd1af1d009.jpg,532,800,meerkat,168,108,462,643
81. 581b7638663f5.image.jpg,960,768,raccoon,253,77,799,730
69. img_how_to_take_care_of_a_pomeranian_puppy_and_adult_2383_600.jpg,600,400,pomeranian,230,61,470,372
90. main-qimg-291cb2620cc09c8ccb9fcfa264181ea5-c.jpg,600,399,meerkat,151,17,245,368
28. lowmeer0008.jpg,600,449,meerkat,469,132,567,394
9. istock_000001684113_small.jpg,930,619,meerkat,369,118,504,585
9. istock_000001684113_small.jpg,930,619,meerkat,159,45,296,579
80. rescued-otter.jpg,300,450,otter,40,31,300,433
2275245725.jpg,339,389,pomeranian,28,36,284,373
98. pomeranian-mp.jpg,729,486,pomeranian,109,62,442,413
2. csm_meng_meng_baby_1_88cad0f74f.jpg,700,486,panda,177,15,520,486
170725021255586_thumb_400_w.jpg,0,0,meerkat,143,26,336,247
htm_2015010814244543004011.jpg,600,421,panda,30,83,549,387
123512351325.jpg,192,146,meerkat,45,14,164,121
53. wlds47_otters_1073x744.jpg,634,440,otter,170,161,352,291
1234551325.jpg,275,183,pomeranian,49,14,207,181
121351251235.jpg,250,375,meerkat,31,79,192,315
83. raccoon-road.ngsversion.1396530745521.adapt.945.1.jpg,945,531,raccoon,103,6,733,531
36. cfbe2a99f6bf8be39f0e5cdddec413ba.jpg,500,750,raccoon,20,4,488,750
15. sub-buzz-4713-1518339402-3.jpg,715,953,raccoon,1,119,650,847
45. tdy_news_otter_151221.today-vid-canonical-featured-desktop.jpg,1042,586,otter,151,24,988,540
73. 1suricate-590a.jpg,590,400,meerkat,384,41,459,358
85. otters.jpg,960,704,otter,93,155,459,704
55. pomeranian1.jpg,949,475,pomeranian,149,1,805,475
6. fotolia_4191773_xs.jpg,750,428,raccoon,264,41,613,428
201308260401357241.jpg,500,281,panda,52,1,500,269
82. fronts1.jpg,534,552,pomeranian,203,264,337,498
82. clawed-otter-2146072_960_720.jpg,960,640,otter,337,66,905,640
76. 1-cape-clawless-otter-moswe590a.jpg,590,300,otter,33,14,571,290
C201610N017_4.jpg,390,222,raccoon,55,19,249,222
24. image_blog_85.jpg,774,386,meerkat,325,1,592,386
46. nintchdbpict000277673156-e1477526912789.jpg,960,641,otter,20,102,618,461
10. x4gjo546wxb01.jpg,1024,682,meerkat,203,48,943,655
22. pomeranian.jpg,349,349,pomeranian,34,48,328,314
21. baby_meerkats.jpg,1000,667,meerkat,159,68,404,554
59. meerkat-jg-2.jpg,400,300,meerkat,71,33,300,298
9. pomeranian-cost.jpg,696,454,pomeranian,202,15,564,404
40. riverotter.jpg,480,480,otter,242,10,438,480
92. there-are-lots-of-pomeranians-looking-for-a-good-home.-adopt.jpg,500,325,pomeranian,177,39,314,307
12351235151.jpg,269,187,raccoon,87,54,139,117
72. raccoonbite.jpg,600,310,raccoon,121,11,587,310
94. gettyimages-74187710.jpg,766,450,raccoon,405,47,766,401
83. 636560954876158533-gettyimages-619242268.jpg,534,401,otter,91,123,354,326
87. img_2420%20baby%20raccoon%205-21-2014%20stanford%20quad%20canon%20eos%2050d.jpg,776,517,raccoon,139,64,654,478
66. otter5.jpg,703,599,otter,257,84,573,586
65. img_3730.jpg,736,737,pomeranian,389,146,647,718
47. 20150918_093333_otter.jpg,431,350,otter,32,14,401,321
91. meerkat-vip-carousel-1_original.jpg,800,560,meerkat,148,44,622,560
31. raccoon-catching-raindrops-in-car.jpg,640,494,raccoon,416,16,640,480
12321512355.jpg,1280,640,meerkat,3,121,1214,570
75. raccoon.jpg,1000,662,raccoon,63,18,746,662
2. 5-face.jpg,453,680,pomeranian,52,25,453,624
58. 2872372_thumb.jpg,640,360,raccoon,52,5,640,358
60. sea-otter-floating-on-back-yawning-picture-idar9090-001.jpg,692,1024,otter,49,271,692,984
69. sea-otter-pup-enhydra-lutris.jpg,650,650,otter,180,157,456,393
17. 527175-istock-514622028.jpg,1100,618,raccoon,166,1,813,618
69. 2nd-800x533.jpg,800,533,meerkat,466,53,785,296
45. meerkat-group-on-rock.ngsversion.1412704191900.adapt.945.1.jpg,945,531,meerkat,706,217,901,531
2. meerkat-group.adapt.945.1.jpg,945,532,meerkat,427,97,573,532
82. raccoon-removal-tcf.jpg,450,300,raccoon,29,44,161,246
98. 111017060721-giant-panda-bamboo-horizontal-large-gallery.jpg,980,552,panda,194,14,799,552
70. lutracanadensis_fullres.jpg,884,800,otter,427,53,884,783
77. meerkat_standing_guard_0.jpg,1000,667,meerkat,664,337,799,552
41. naturalselection-meerkats-5.jpg,1024,683,meerkat,448,347,637,643
46. panda-today-160930-01_6845ae9da2fc8c2ce6005218c55f4900.today-inline-large.jpg,700,394,panda,29,226,119,326
2346262462.jpg,757,536,meerkat,410,68,510,424
7. raccoon-2015-marie-kraus-1-1024x683-e1461547070661.jpg,911,683,raccoon,74,2,845,682
8. 1280x720-wh81.jpg,1000,563,panda,161,47,493,505
6. giant-panda-shutterstock_86500690.jpg,1000,600,panda,264,23,790,534
16. meerkat-facts-1.jpg,635,404,meerkat,151,8,528,404
73. 1suricate-590a.jpg,590,400,meerkat,476,42,576,367
2018050310065694907_1525309616.jpg,550,366,panda,126,44,379,366
85. pomeranian-1.jpg,400,300,pomeranian,19,7,315,295
73. pomeranian-puppies.jpg,736,615,pomeranian,58,46,719,590
25. slider2.jpg,447,300,panda,55,16,426,271
14. a-diligent-meerkat-keeping-watch-over-the-youngsters-makgadikgadi-pans-botswana1-734x4901-1-e1472121268216.jpg,543,343,meerkat,205,209,272,343
35. p056c89n.jpg,624,351,otter,9,54,590,265
79. naturalselection-meerkats-1.jpg,1024,683,meerkat,437,170,637,577
85. meerkats-1024x683.jpg,1024,683,meerkat,371,483,580,683
2623462346.jpg,183,275,meerkat,46,57,146,242
53. bfcb9c559ae8ba255e30abc654bfbcfe.jpg,736,736,pomeranian,66,14,566,729
image_1519884613910_750.jpg,750,500,pomeranian,298,51,572,448
63. sea-otters-tony-trupp-dpc.jpg,498,272,otter,96,8,270,118
3. sea_otter_cropped.jpg,714,555,otter,54,68,714,471
54. hqdefault.jpg,480,360,pomeranian,211,57,406,259
29. otter-yawning.jpg,1000,667,otter,577,143,1000,653
21. baby_meerkats.jpg,1000,667,meerkat,675,114,875,667
18. panda-black-white-study.jpg,1024,641,panda,303,37,945,641
19. meerkat_looking_at_camera_600.jpg,412,600,meerkat,49,21,398,573
20150708%2FFOREIGN201507080916000090216078135.jpg,567,850,panda,102,49,551,700
74. main-qimg-ef394048243501b47b19309eeebe9ec6.jpg,0,0,panda,83,10,520,461
71. 10-panda.w1200.h630.jpg,952,499,panda,297,39,697,367
66. meerkat2-1.jpg,960,612,meerkat,712,50,848,513
6. pomeranian-care.jpg,500,750,pomeranian,45,210,486,605
89. 8a1df934ce45584456a5611b0f5cb3d4-so-tired-cute-panda.jpg,736,615,panda,74,54,735,567
1234125312525123.jpg,320,348,meerkat,100,5,239,342
64. sub-buzz-20028-1501055319-5.jpg,715,475,pomeranian,114,94,456,433
54. 71nnpuz3i1l._sy355_.jpg,355,355,panda,81,27,267,304
23452151251.jpg,799,623,otter,133,69,618,546
14. a-diligent-meerkat-keeping-watch-over-the-youngsters-makgadikgadi-pans-botswana1-734x4901-1-e1472121268216.jpg,543,343,meerkat,113,249,229,343
97. otter-in-seaweed-isle-of-harris-wildlife.jpg,800,578,otter,160,220,678,478
48. otter-1438378_1280.jpg,521,347,otter,98,8,489,330
74. cute-pomeranian-dogs-and-puppies-dog-breeds-ss.jpg,625,430,pomeranian,121,21,359,387
51. raccoon2.jpg,1200,630,raccoon,89,11,1091,630
9. diyraccoonremoval.jpg,500,417,raccoon,30,6,494,417
91. pomeranian-dogs-mating-stock-images_csp22765358.jpg,450,320,pomeranian,181,22,383,146
40. gettyimages-611382876.jpg,625,422,panda,86,298,298,422
92. panda-teeth-ss-1920-800x450.jpg,800,450,panda,144,9,785,443
23. 17761239_1474688329270377_8648849409988721072_o-e1491901314222.jpg,760,515,otter,362,219,671,434
95. raccoon3.jpg,459,522,raccoon,37,3,444,522
88. micro-teacup-pomeranian-for-sale-1.jpg,601,408,pomeranian,176,110,371,330
73. 1suricate-590a.jpg,590,400,meerkat,33,2,150,382
48. web_composite_panda-thumbs.jpg,630,403,panda,26,39,295,403
66. waschbaren-brandenburg-berlin-raccoons-2-8-e1495457370733.jpg,1000,750,raccoon,370,133,940,713
58. a-diligent-meerkat-keeping-watch-over-the-youngsters-makgadikgadi-pans-botswana1-734x4901.jpg,734,490,meerkat,363,62,506,403
90. main-qimg-291cb2620cc09c8ccb9fcfa264181ea5-c.jpg,600,399,meerkat,43,32,130,360
70. panda-face-ss-1920-800x450.jpg,800,450,panda,169,22,770,450
29. dscn0737.jpg,611,800,pomeranian,47,34,562,800
77. pomeranian-600.jpg,600,400,pomeranian,148,49,476,366
54. ohio-raccoon-wp-650_650x400_71522993998.jpg,650,400,raccoon,199,13,437,399
21. big-raccoon.jpg,960,768,raccoon,75,98,802,703
FOREIGN201508171309000245117270703.jpg,834,531,panda,154,160,404,395
78. meixiang_img_5191_1-727x485.jpg,727,485,panda,133,38,619,438
otters_1280.jpg,1279,719,otter,770,294,1059,632
1235124325.jpg,225,225,raccoon,13,3,225,223
14. a-diligent-meerkat-keeping-watch-over-the-youngsters-makgadikgadi-pans-botswana1-734x4901-1-e1472121268216.jpg,543,343,meerkat,254,4,357,333
40. c700x420.jpg,700,420,meerkat,321,48,519,420
42. surprising-science-meerkat-alpha-females.jpg,631,300,meerkat,343,106,501,300
98. enhanced-buzz-14321-1379702965-4.jpg,450,338,otter,9,67,271,338
2016122571_editor_image.jpg,1090,666,meerkat,600,224,737,497
7. sea_otter_%28enhydra_lutris%29_%2825169790524%29_crop.jpg,922,843,otter,126,89,823,843
8. poster_f73bbe42258e47368592c24d8319d1a9_84014978_ver1.0_640_480.jpg,640,360,raccoon,95,1,611,360
72. 4541137520385b7cada11997129efb31.jpg,564,1003,otter,9,11,564,889
26. back1.jpg,1187,649,pomeranian,265,11,932,649
77. meerkat_standing_guard_0.jpg,1000,667,meerkat,399,134,586,523
97. panda-dream.jpg,620,349,panda,104,5,352,332
91. pomeranian-dogs-mating-stock-images_csp22765358.jpg,450,320,pomeranian,81,94,253,288
90. image.jpg,700,467,otter,11,18,632,467
34223623623.jpg,764,435,pomeranian,195,8,568,415
85. 170925111341_1_540x360.jpg,485,360,panda,232,96,442,360
o-POMERANIAN-570.jpg,570,379,pomeranian,164,19,382,324
photo 024-1-02.jpg,422,316,pomeranian,94,26,368,302
53. wlds47_otters_1073x744.jpg,634,440,otter,363,162,501,305
85. otters.jpg,960,704,otter,348,25,671,300
68. meerkats-001.jpg,610,286,meerkat,190,45,279,250
83. meerkat-facts-5.jpg,635,404,meerkat,221,1,468,392
9. 161230120612-04-pan-pan-china-panda-exlarge-169.jpg,780,438,panda,84,30,443,438
201802230715566788_t.jpg,1280,720,panda,488,187,874,501
17. meerkat-lounging.jpg,1000,667,meerkat,97,105,913,597
50. ahr0cdovl3d3dy5saxzlc2npzw5jzs5jb20vaw1hz2vzl2kvmdawlza5oc83mduvb3jpz2luywwvcml2zxitb3r0zxiuanbn.jpg,660,430,otter,69,37,404,396
1. pomeranian_thank_you.jpg,398,442,pomeranian,64,16,360,407
panda_photo_03.jpg,548,490,panda,164,107,443,460
32. pomeranian-names-1-final.jpg,800,481,pomeranian,286,94,491,435
70. lutracanadensis_fullres.jpg,884,800,otter,53,153,525,495
53. rare-raccoon-parasite-causing-blindness-severe-brain-damage-could-be-more-widespread-than-we-knew.1280x600.jpg,1280,600,raccoon,169,1,1151,600
71. 20150254dcf1b2ca0fb.jpg,800,600,pomeranian,183,7,618,565
51. pomeranian-exercise-446x320px.jpg,446,320,pomeranian,127,66,320,261
FOREIGN201503131617000139594475917.jpg,850,613,panda,126,10,715,613
96. image.jpg,620,349,raccoon,169,14,473,348
61. _59823448_cimg2880.jpg,624,351,meerkat,116,34,422,351
top_2757_1.jpg,640,390,panda,264,2,572,382
10. meerkat-slider.jpg,800,700,meerkat,200,18,754,660
1234512651616.jpg,299,168,raccoon,33,13,200,160
93. l.lutra_david%20tipling_getty_623.jpg,623,430,otter,148,122,347,304
93. 636331260025735849-gettyimages-620390086.jpg,534,401,raccoon,26,5,511,401
44. meerkat-survival-tactics_640x360_680877635792.jpg,640,360,meerkat,163,8,505,360
47. melanie%20racoon.jpg,635,638,raccoon,11,2,568,638
12351235325.jpg,520,338,meerkat,180,19,288,314
23462362366.jpg,241,209,meerkat,69,55,124,208
57. teacup-pomeranian-for-sale-in-pa-630x380.jpg,630,380,pomeranian,275,53,534,336
79. giant_panda_poster_grande.jpg,600,600,panda,129,37,471,540
9. otter-taking-a-nap-on-mum-e1452600634351.jpg,711,354,otter,15,3,711,338
44. raccoon8.jpg,670,487,raccoon,6,4,658,462
50. nintchdbpict000296957113.jpg,960,540,meerkat,380,56,663,540
1. closeup_meerkat_face.jpg,653,436,meerkat,195,35,528,436
71. 2015%2f03%2f15%2f96%2fmeerkats.0c657.jpg,950,534,meerkat,656,28,905,528
45. aid1784999-v4-728px-take-care-of-a-pomeranian-step-6-version-3.jpg,728,546,pomeranian,1,127,372,513
2013101702041_0.jpg,650,433,panda,26,72,419,381
46. meerkat-pregnant-1-dominiccram-gettyimages.jpg,907,509,meerkat,527,76,741,427
22. bernard_de_wetter_wwf_canon_113974.jpg,1000,600,panda,39,31,984,600
12351531235.jpg,275,183,raccoon,53,2,157,166
20. meerkat-family-group.jpg,650,462,meerkat,69,75,171,433
30078492_2033247100334632_3567392560383000576_n.jpg,1080,1080,raccoon,52,30,887,1080
53. meerkathero.jpg,1100,600,meerkat,66,294,191,462
40. gettyimages-611382876.jpg,625,422,panda,234,50,408,200
31. 8ad5aef5bc1388bef352f5ee08406bf8.jpg,540,538,pomeranian,89,9,385,524
4. panda-facts-6-1.jpg,514,341,panda,159,27,467,338
37. huey-running-5-10-14-683x1024.jpg,683,1024,pomeranian,118,353,535,810
46. panda-today-160930-01_6845ae9da2fc8c2ce6005218c55f4900.today-inline-large.jpg,700,394,panda,126,252,188,305
27. tmg-article_default_mobile.jpg,480,325,raccoon,100,26,401,293
63. meerkats-004_m.jpg,310,466,meerkat,83,60,288,414
IE001102392_STD.jpg,500,335,panda,224,71,324,165
6. shutterstock-578215438.jpg,729,425,meerkat,176,21,567,411
37. animal-hero-meerkat.jpg,1020,582,meerkat,244,73,764,582
65. 9143175_orig.jpg,641,400,raccoon,466,179,603,376
43. meerkat-2800395_960_720.jpg,898,720,meerkat,371,23,799,683
62. raccoon_l.jpg,347,346,raccoon,66,68,253,237
78. white-teacup-pomeranian-puppies.jpg,734,492,pomeranian,287,27,547,276
60. meerkat%20manor%206.jpg,625,450,meerkat,242,22,484,450
75. giant-river-otter-1-e1464123224375.jpg,567,517,otter,69,47,521,487
17. 9b6628cf124c97e1e133778784ae7cde.jpg,744,496,panda,105,10,472,261
91. 636555098233792853-coon-5.jpg,534,401,raccoon,224,38,366,187
201805031526415641_t.jpg,1280,720,panda,343,53,1008,667
71. raccoons_42-33050750.jpg,800,600,raccoon,96,105,342,560
66. meerkat2-1.jpg,960,612,meerkat,297,79,461,492
2. mammal-1227460_1280.jpg,750,500,raccoon,251,34,633,500
landing_river-otter.jpg,768,358,otter,58,5,469,358
90. mn1_000438.jpg,479,479,raccoon,12,3,471,479
73. istock_000065691893_bukharova.jpg,849,565,raccoon,231,124,633,565
90. main-qimg-291cb2620cc09c8ccb9fcfa264181ea5-c.jpg,600,399,meerkat,255,35,349,380
63. pizzapug11.jpg,750,333,pomeranian,143,9,668,333
21. n-panda-a-20170919-870x567.jpg,870,567,panda,15,47,375,479
74. main-qimg-d976eadeb82569dfd08e84a410fe6b3d-c.jpg,480,319,otter,1,38,428,269
90. 16-pandas.w710.h473.jpg,710,473,panda,356,92,569,424
75. 3-80.jpg,404,533,pomeranian,81,44,346,466
88. 2561960-panda-bear.jpg,450,300,panda,1,8,418,293
78. otter_african-spot-necked.jpg,1000,667,otter,126,159,766,463
54. injured-otter.jpg,991,529,otter,42,94,944,485
21. n-panda-a-20170919-870x567.jpg,870,567,panda,487,100,838,506
69. raccoon.jpg,799,532,raccoon,303,133,690,510
50. .jpg,800,420,pomeranian,441,17,784,403
61. image_5292f-raccoon.jpg,710,401,raccoon,139,4,515,352
123512351235.jpg,327,327,meerkat,58,2,267,327
73. giant-panda1-706x456.jpg,706,456,panda,58,8,566,456
345234667.jpg,649,430,meerkat,221,128,426,430
81. picture1-424x299.jpg,424,299,panda,37,99,339,274
52. new-meerkats-slide-10.jpg,640,480,meerkat,183,202,340,448
42. toola_custom-1ba552dbbd0d2372dc8cbcf274cf83166b55c4df-s900-c85.jpg,500,359,otter,39,30,227,359
28430815_1550045245113677_8015274500440457216_n.jpg,640,640,pomeranian,77,3,577,631
43. giant-panda.jpg,600,400,panda,177,37,503,400
61. giant-otter-slider-2.jpg,800,700,otter,17,31,483,598
200006126-610bac30-c441-430a-9784-94027ab106ca.jpg,885,560,otter,68,1,811,560
35. raccoon-babies-in-an-attic.jpg,948,533,raccoon,290,173,411,344
maxresdefault.jpg,1280,720,panda,314,61,1017,658
85. meerkats-1024x683.jpg,1024,683,meerkat,262,24,543,229
90. 16-pandas.w710.h473.jpg,710,473,panda,167,64,374,411
30. 47fca2d600000578-0-image-a-21_1515620072217.jpg,962,761,panda,117,13,869,518
46. panda-today-160930-01_6845ae9da2fc8c2ce6005218c55f4900.today-inline-large.jpg,700,394,panda,377,260,455,318
90. guide-to-pomeranian-grooming-image-fb.jpg,1000,667,pomeranian,450,5,964,650
32. 22116230-22116230.jpg,900,506,otter,154,166,648,462
27468_26622_3258.jpg,520,370,panda,337,32,520,297
75. ahr0cdovl3d3dy5saxzlc2npzw5jzs5jb20vaw1hz2vzl2kvmdawlza5ns8zndqvb3jpz2luywwvt05fx1rjtuvfvvnfx3bhbmrhx2jhc2lfms5qcgc=.jpg,660,440,panda,134,26,534,439
8. meerkats_huddled_0.jpg,1000,667,meerkat,626,114,1000,615
50. c-altaefrontis-738x591.jpg,738,591,raccoon,104,121,722,453
